,Brand,Memory,Storage,Rating,Original Price,colour
1136,Apple,4,64,4.6,65900,white
1137,Apple,4,64,4.5,59900,white
1138,Apple,4,128,4.5,64900,purple
1139,Apple,4,256,4.6,80900,black
1141,Apple,4,128,4.6,70900,green
1142,Apple,4,128,4.5,64900,black
1143,Apple,4,64,4.5,59900,red
1144,Apple,4,64,4.5,59900,black
1145,Apple,4,256,4.24309764309762,89900,pink
1147,Apple,4,128,4.6,54900,yellow
1148,Apple,4,128,4.5,64900,red
1149,Apple,4,64,4.5,59900,green
1150,Apple,4,128,4.6,54900,red
1152,Apple,4,64,4.5,59900,purple
1154,Apple,4,256,4.24309764309762,79900,starlight
1155,Apple,4,64,4.6,49900,white
1156,Apple,4,64,4.6,49900,green
1157,Apple,4,128,4.6,70900,black
1158,Apple,4,64,4.6,49900,purple
1159,Apple,4,64,4.6,65900,blue
1160,Apple,4,128,4.6,70900,white
1161,Apple,4,256,4.5,84900,blue
1164,Apple,4,256,4.24309764309762,89900,red
1168,Apple,4,256,4.6,80900,blue
1169,Apple,4,64,4.6,65900,red
1170,Apple,4,256,4.5,74900,red
1171,Apple,4,128,4.6,54900,white
1172,Apple,4,64,4.5,59900,blue
1173,Apple,4,128,4.24309764309762,69900,midnight
1174,Apple,4,64,4.6,65900,green
1176,Apple,4,128,4.5,64900,white
1177,Apple,4,256,4.6,80900,green
1179,Apple,6,256,4.6,119900,blue
1180,Apple,4,256,4.5,74900,white
1181,Apple,4,64,4.6,65900,black
1182,Apple,4,256,4.5,74900,purple
1183,Apple,4,64,4.7,117100,green
1184,Apple,4,512,4.24309764309762,109900,blue
1186,Apple,6,128,4.6,109900,gold
1187,Apple,6,512,4.6,139900,gold
1188,Apple,4,256,4.5,74900,green
1189,Apple,4,256,4.24309764309762,79900,pink
1191,Apple,4,128,4.24309764309762,79900,red
1192,Apple,4,64,4.7,117100,gold
1193,Apple,4,256,4.5,74900,black
1195,Apple,6,128,4.6,109900,silver
1196,Apple,6,128,4.6,109900,graphite
1197,Apple,4,512,4.24309764309762,109900,midnight
1198,Apple,4,512,4.24309764309762,109900,starlight
1200,Apple,6,256,4.6,119900,gold
1201,Apple,6,512,4.6,139900,silver
1202,Apple,4,128,4.6,54900,green
1203,Apple,4,64,4.7,117100,grey
1204,Apple,4,512,4.24309764309762,109900,red
1205,Apple,4,512,4.6,140300,green
1208,Apple,4,128,4.24309764309762,69900,pink
1209,Apple,4,64,4.6,49900,black
1211,Apple,4,256,4.24309764309762,79900,midnight
1212,Apple,4,256,4.24309764309762,79900,red
1213,Apple,4,128,4.24309764309762,69900,red
1215,Apple,4,512,4.7,134900,gold
1220,Apple,4,256,4.6,94900,red
1221,Apple,6,256,4.6,119900,graphite
1222,Apple,6,256,4.24309764309762,139900,graphite
1223,Apple,6,128,4.24309764309762,129900,blue
1225,Apple,4,256,4.24309764309762,79900,blue
1229,Apple,4,512,4.7,134900,grey
1231,Apple,6,256,4.24309764309762,139900,silver
1232,Apple,6,256,4.6,119900,silver
1235,Apple,6,512,4.6,139900,graphite
1237,Apple,6,128,4.6,109900,blue
1238,Apple,6,128,4.24309764309762,129900,gold
1240,Apple,4,512,4.6,140300,grey
1242,Apple,4,256,4.7,131900,gold
1245,Apple,4,512,4.6,140300,gold
1248,Apple,4,256,4.6,106600,silver
1249,Apple,4,64,4.6,54900,white
1251,Apple,4,512,4.6,144900,silver
1254,Apple,4,256,4.6,106600,gold
1256,Apple,4,256,4.6,106600,green
1257,Apple,4,512,4.6,140300,silver
1259,Apple,4,256,4.7,103900,grey
1260,Apple,4,64,4.7,89900,grey
1261,Apple,4,256,4.6,106600,grey
1266,Apple,4,256,4.6,121300,silver
1270,Apple,6,512,4.24309764309762,99900,pink
1273,Apple,4,256,4.7,103900,silver
